Date,gdp,cpi,cpi_core,mmr,neer,eur_tnd,usd_tnd,gdp_ea,cpi_ea,nr_ea,wp_oil,cpi_freshfood,cpi_administ,cpi_core1,cpi_food,cpi_energy,cpi_core2,fisc_bal,gdp_agriculture
2003Q2,14563.6910842538,64.2815156008509,68.0500366244482,5.4375,148.491451136418,1.46081,1.28566666666667,2193202.8,81.05,2.36191031746032,49.8608438429364,50.8889289863225,66.9484535034636,65.9129171780176,56.60225473347,57.8456413710112,68.0500366244482,-1.0253748685647,1289.42714315766
2003Q3,14840.6074096243,65.1695447934413,68.5108649758128,5,148.801646852114,1.45419333333333,1.29308333333333,2205284,81.1566666666667,2.13926341050254,54.282033747356,54.1639323907508,67.9495763338285,66.2540155976372,58.7117015049645,58.2399675442448,68.5108649758128,-1.5907409677262,1429.28381991608
2003Q4,15063.500034839,65.3672756498649,69.1426168503623,5,146.867437932747,1.49215,1.25445333333333,2220865.3,81.6133333333334,2.14964951690821,56.1332082253216,51.9351629803234,69.103026421623,66.5416222941532,57.8657018797551,58.2518565870238,69.1426168503623,-5.1221164027613,1556.24859757451
2004Q1,15434.5642946785,66.0675995778157,69.3181795434087,5,144.864646631205,1.53073333333333,1.22317,2232647,81.91,2.06295075914424,60.974252135053,56.8076699601299,69.1519356583422,66.6556106055497,60.0908592311288,58.2603913449286,69.3181795434087,-3.77447617494549,1479.90375126573
2004Q2,15544.6528458489,66.2601685686211,69.8476119791142,5,143.933507619076,1.52692,1.26730333333333,2246033.9,82.9333333333333,2.08242965367965,67.7300847659791,54.6765644445292,69.7585825183357,67.1524135356569,59.3101132236781,58.8777617561361,69.8476119791142,-0.951055757718583,1484.34758161671
2004Q3,15867.1587903099,66.3654651141824,70.2128980623636,5,143.112345118565,1.54073,1.26082,2251666.6,83.02,2.11630303030303,79.3778527012198,52.7586381221068,70.1567310253068,67.5520726864406,58.4890493864884,59.9215579119142,70.2128980623636,0.234484540246832,1585.13245198785
2004Q4,15954.2800055254,66.6081368430203,70.5686245173206,5,139.525210088957,1.59446666666667,1.23081333333333,2259561.3,83.5266666666667,2.163608476065,84.2697880055344,52.4064273154424,70.5787584618719,67.8406999471866,58.4235680780603,60.2422990095569,70.5686245173206,-4.21756694045439,1690.60822552755
2005Q1,15913.253798911,67.1244524522955,70.8115090844073,5,136.617688319702,1.61759,1.23334,2265502.3,83.6066666666667,2.14032301587302,90.9174764229712,54.1535498365663,70.8949831962057,68.1874932868251,59.6041923192831,60.8521145502747,70.8115090844073,-3.47818766666925,1394.7406729614
2005Q2,16233.5922668858,67.6642966784265,71.2825542441735,5,136.340839167301,1.60881333333333,1.27782333333333,2277903.5,84.6266666666667,2.12463997113997,98.500294215875,54.6423065784652,71.5634278766131,68.6820046807662,60.1975884789316,61.8115045004074,71.2825542441735,0.906988331432578,1394.00083364768
2005Q3,16373.6908640171,68.2238677315774,71.7694944416355,5,135.298911600522,1.61182,1.32169,2295654.5,84.94,2.13034773197817,117.463700122457,55.1170990514124,72.7080208150812,69.0045694531559,60.5402743693511,63.7671756130717,71.7694944416355,1.51511838949755,1425.68948784786
2005Q4,16578.9498802301,68.8789413997281,72.2954340837345,5,134.644807246607,1.61224333333333,1.35705666666667,2309613.8,85.49,2.34344660894661,108.653127435232,56.4798288894049,73.1962664024214,69.5847199251109,61.4206617789805,64.7746577992647,72.2954340837345,-8.78951502727099,1536.66827487847
2006Q1,16828.4488212189,69.3465719840018,72.5518159393606,5,133.994851801612,1.62341666666667,1.35032,2330302.8,85.5666666666667,2.61154683794466,118.157095373654,56.7233623605584,74.0183433657108,69.9447714704969,61.8423158539331,67.2640311925102,72.5518159393606,-0.103156969045787,1536.94239793366
2006Q2,17028.0448306292,70.0479857115371,73.1366082552805,5,131.358765102004,1.66926333333333,1.32827,2355748.2,86.73,2.88948653198653,133.265478140555,57.6819003285868,74.8687114696531,70.527727738811,62.4543018298404,69.3048384248281,73.1366082552805,2.49989670771007,1526.00467550356
2006Q3,17205.0992354504,70.350050596405,73.4695506661129,5.01666666666667,130.185051293738,1.68855333333333,1.3246,2369786.7,86.8033333333333,3.22134989648033,133.768030662065,57.1572094810184,75.4961625798415,70.8605221011839,62.3005838525255,70.9237563860887,73.4695506661129,2.61269958340405,1542.52180238649
2006Q4,17580.2719196576,70.9073256963082,74.1131300255873,5.27,129.696362434573,1.69890333333333,1.31628666666667,2397018.7,87.0366666666667,3.59446411483254,113.977639593505,58.3107710102097,75.6150660997844,71.4843087570353,62.7821647687942,70.9844268665676,74.1131300255873,-12.4601257523856,1597.73831037815
2007Q1,18251.2793080397,70.8275923712242,73.8722780520493,5.29333333333333,128.736205938735,1.71625666666667,1.31011333333333,2412544.7,87.19,3.82032424242424,110.81601170502,58.6025304918174,75.9896514750797,71.1293344130598,63.0851460183371,70.9902149288162,73.8722780520493,-1.06753831428883,1550.93385076385
2007Q2,18550.5351943067,71.8598987223785,74.6934093800868,5.24333333333333,126.859746316148,1.75112,1.29894666666667,2429530,88.39,4.06479623300676,131.172569538319,61.319706470826,76.8640137314468,71.8790958807224,64.6595222988952,71.9935846393538,74.6934093800868,0.530361046462791,1533.89930723072
