"Variables ->","gdp","gdp_agriculture","cpi","cpi_core1","cpi_freshfood","cpi_administ","fisc_bal","mmr","neer","eur_tnd","usd_tnd","gdp_ea","cpi_ea","nr_ea","cpi_us","wp_oil","gdp_nom","credit_total","credit_eses","credit_houshl","gdp_agr_nom","credit_agriculture","cred_new_flows_u","cred_new_ir","cred_new_hh_flows_u","cred_new_hh_ir","cred_new_eses_flows_u","cred_new_eses_ir","il_ceil","gdpxa_nom","credxa","cred_new_flows","cred_new_flows2"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]"
"2007Q2",18528.9799999999995634,1561.9100000000000819,71.8499999999999943,71.8299999999999983,61.2800000000000011,76.9099999999999966,0.5000000000000000,5.2400000000000002,126.8599999999999994,1.7500000000000000,1.3000000000000000,2430210.6000000000931323,88.0199999999999960,4.0599999999999996,87.1800000000000068,124.5000000000000000,12866.3400000000001455,26984.1100000000005821,21240.4900000000016007,5743.3000000000001819,1020.3749299999999494,1020.3749299999999494,NaN,NaN,NaN,NaN,NaN,NaN,10.7581545100000007,11845.9650700000001962,25963.7350700000024517,NaN,NaN
"2007Q3",18656.2200000000011642,1560.4500000000000455,72.6299999999999955,72.4099999999999966,62.1799999999999997,78.1200000000000045,1.3000000000000000,5.2000000000000002,127.0900000000000034,1.7500000000000000,1.2800000000000000,2440642.2999999998137355,88.4699999999999989,4.5000000000000000,87.5199999999999960,137.0999999999999943,13229.2800000000006548,27367.5999999999985448,21509.9199999999982538,5835.4700000000002547,1017.7552309999999807,1017.7552309999999807,NaN,NaN,NaN,NaN,NaN,NaN,10.7837995299999996,12211.5247690000014700,26349.8447689999993599,NaN,NaN
"2007Q4",18925.1599999999998545,1570.7100000000000364,73.3499999999999943,72.9399999999999977,62.1599999999999966,79.5900000000000034,-7.0999999999999996,5.2400000000000002,126.1400000000000006,1.7900000000000000,1.2300000000000000,2453763.3999999999068677,89.5799999999999983,4.7199999999999998,88.8100000000000023,176.6999999999999886,13660.3500000000003638,28346.4799999999995634,22188.6899999999986903,6159.9899999999997817,1054.6846430000000510,1054.6846430000000510,NaN,NaN,NaN,NaN,NaN,NaN,10.7837995299999996,12605.6653569999998581,27291.7953569999990577,NaN,NaN
"2008Q1",19357.0200000000004366,1534.3199999999999363,74.1800000000000068,73.6700000000000017,62.7000000000000028,81.0300000000000011,0.0000000000000000,5.2699999999999996,126.2399999999999949,1.8000000000000000,1.2000000000000000,2465397.5000000000000000,90.5400000000000063,4.4800000000000004,89.9500000000000028,196.6999999999999886,14091.9699999999993452,29452.1899999999986903,22950.4399999999986903,6515.8000000000001819,1018.2282930000000079,1018.2282930000000079,NaN,NaN,NaN,NaN,NaN,NaN,10.7727846399999994,13073.7417069999992236,28433.9617069999985688,NaN,NaN
"2008Q2",19265.2200000000011642,1554.1600000000000819,75.0499999999999972,74.6400000000000006,61.6799999999999997,82.2999999999999972,1.6000000000000001,5.2100000000000000,125.2699999999999960,1.8300000000000001,1.1699999999999999,2457362.5000000000000000,91.2600000000000051,4.8600000000000003,90.9899999999999949,219.9000000000000057,14514.1800000000002910,30289.0999999999985448,23457.4399999999986903,6836.1300000000001091,1044.3903199999999742,1044.3903199999999742,NaN,NaN,NaN,NaN,NaN,NaN,10.7727846399999994,13469.7896799999998620,29244.7096799999999348,NaN,NaN
"2008Q3",19496.3600000000005821,1564.7500000000000000,75.7999999999999972,75.4000000000000057,62.6000000000000014,83.0199999999999960,3.7999999999999998,5.2000000000000002,125.0600000000000023,1.8200000000000001,1.2100000000000000,2444204.8999999999068677,91.9699999999999989,4.9800000000000004,92.1899999999999977,214.0000000000000000,14668.2399999999997817,31396.8699999999989814,24260.0900000000001455,7116.8400000000001455,1050.1479070000000320,1050.1479070000000320,NaN,NaN,NaN,NaN,NaN,NaN,9.6184851800000004,13618.0920929999992950,30346.7220930000003136,NaN,NaN
"2008Q4",19539.7200000000011642,1564.1300000000001091,76.5999999999999943,76.1400000000000006,64.4300000000000068,83.4300000000000068,-7.7000000000000002,5.2100000000000000,124.3799999999999955,1.7800000000000000,1.3500000000000001,2400660.3999999999068677,91.6899999999999977,4.2100000000000000,90.2300000000000040,110.5000000000000000,14777.9799999999995634,32450.0999999999985448,25186.0099999999983993,7268.4099999999998545,1023.8190630000000283,1023.8190630000000283,NaN,NaN,NaN,NaN,NaN,NaN,9.6184851800000004,13754.1609369999987393,31426.2809369999995397,NaN,NaN
"2009Q1",19529.2999999999992724,1669.5699999999999363,76.9099999999999966,76.5300000000000011,64.7800000000000011,83.7300000000000040,0.2000000000000000,4.4800000000000004,120.9800000000000040,1.8400000000000001,1.4099999999999999,2325995.1000000000931323,91.4500000000000028,2.0099999999999998,89.8499999999999943,90.7000000000000028,14885.0300000000006548,33090.3899999999994179,25596.2099999999991269,7503.4300000000002910,1162.1419040000000678,1162.1419040000000678,NaN,NaN,NaN,NaN,NaN,NaN,9.5800156219999995,13722.8880960000005871,31928.2480959999993502,NaN,NaN
"2009Q2",19837.7700000000004366,1706.6099999999999000,77.7199999999999989,77.0600000000000023,67.1599999999999966,84.2300000000000040,5.4000000000000004,4.2599999999999998,119.7600000000000051,1.8700000000000001,1.3799999999999999,2325526.0000000000000000,91.4300000000000068,1.3100000000000001,89.9699999999999989,106.2999999999999972,15182.4699999999993452,33798.3300000000017462,26022.4399999999986903,7780.5100000000002183,1173.3286120000000210,1173.3286120000000210,NaN,NaN,NaN,NaN,NaN,NaN,9.5800156219999995,14009.1413880000000063,32625.0013880000005884,NaN,NaN
"2009Q3",19992.3499999999985448,1700.6400000000001000,78.3299999999999983,77.6200000000000045,68.6200000000000045,84.6099999999999994,-0.5000000000000000,4.2500000000000000,120.2600000000000051,1.8899999999999999,1.3200000000000001,2334586.3999999999068677,91.6899999999999977,0.8700000000000000,90.7500000000000000,128.1999999999999886,15571.2000000000007276,35028.8600000000005821,26751.6199999999989814,8256.4400000000005093,1186.0324310000000878,1186.0324310000000878,NaN,NaN,NaN,NaN,NaN,NaN,8.8140704149999998,14385.1675690000010945,33842.8275690000009490,NaN,NaN
"2009Q4",20251.0200000000004366,1712.9500000000000455,78.9200000000000017,78.3100000000000023,69.1500000000000057,84.9399999999999977,-16.0000000000000000,4.2300000000000004,119.6099999999999994,1.9099999999999999,1.2900000000000000,2345249.5000000000000000,92.0600000000000023,0.7200000000000000,91.5199999999999960,147.4000000000000057,15906.2600000000002183,36066.2799999999988358,27405.9900000000016007,8667.4699999999993452,1211.3257499999999709,1211.3257499999999709,NaN,NaN,NaN,NaN,NaN,NaN,8.8140704149999998,14694.9342500000002474,34854.9542499999952270,NaN,NaN
