"Variables ->","l_y_ez","l_y_ez_gap","l_cpi_ez","l_cpi_us","i_ez","eur_usd","r_ez_gap","r_ez_tnd","l_wp_oil","l_rp_oil_gap"
"2017Q1",1.47568200e+03,-1.14029200e+00,4.61996027e+00,4.61996027e+00,0.00000000e+00,9.38877000e-01,-2.17793000e-01,-9.18624000e-01,3.99116985e+02,-2.31862300e+00
"2017Q2",1.47649611e+03,-7.63230000e-01,4.62068258e+00,4.62068258e+00,0.00000000e+00,9.09390000e-01,-4.47612000e-01,-8.73023000e-01,3.91696267e+02,-9.87572400e+00
"2017Q3",1.47718667e+03,-5.12572000e-01,4.62274812e+00,4.62274812e+00,-0.00000000e+00,8.51434000e-01,-4.08870000e-01,-9.31200000e-01,3.94624678e+02,-7.50000000e+00
"2017Q4",1.47806286e+03,-1.00000000e-01,4.62755119e+00,4.62755119e+00,0.00000000e+00,8.49028000e-01,-3.23397000e-01,-1.06692200e+00,4.11852261e+02,9.08782500e+00
"2018Q1",1.47812890e+03,-4.44217000e-01,4.63259078e+00,4.63259078e+00,0.00000000e+00,8.13504000e-01,-2.24023000e-01,-1.14576400e+00,4.20396587e+02,1.67393360e+01
"2018Q2",1.47863275e+03,-3.38364000e-01,4.63799227e+00,4.63799227e+00,0.00000000e+00,8.38948000e-01,-4.14586000e-01,-1.21847700e+00,4.31064701e+02,2.66082460e+01
"2018Q3",1.47870649e+03,-6.43937000e-01,4.64342890e+00,4.64342890e+00,0.00000000e+00,8.59796000e-01,-2.62019000e-01,-1.22562100e+00,4.32380776e+02,2.75000000e+01
"2018Q4",1.47924398e+03,-4.80205000e-01,4.64660000e+00,4.64660000e+00,-0.00000000e+00,8.76492000e-01,-3.79150000e-01,-1.19194000e+00,4.21018933e+02,1.59791150e+01
"2019Q1",1.47990954e+03,-1.83824000e-01,4.64618416e+00,4.64618416e+00,-0.00000000e+00,8.80718000e-01,-2.22863000e-01,-1.30965400e+00,4.14745112e+02,8.84463800e+00
"2019Q2",1.48009647e+03,-3.41517000e-01,4.65170384e+00,4.65170384e+00,-0.00000000e+00,8.89833000e-01,-1.25036000e-01,-1.53136400e+00,4.22449203e+02,1.63294730e+01
"2019Q3",1.48037238e+03,-3.98775000e-01,4.65389686e+00,4.65389686e+00,0.00000000e+00,8.99562000e-01,-6.93970000e-02,-1.52145900e+00,4.12485907e+02,5.74681400e+00
"2019Q4",1.48035937e+03,-6.50000000e-01,4.65637014e+00,4.65637014e+00,0.00000000e+00,9.03160000e-01,2.27990000e-01,-1.58875400e+00,4.13766387e+02,6.78501500e+00
"2020Q1",1.47682279e+03,-1.19232600e+00,4.65741469e+00,4.65741469e+00,-0.00000000e+00,9.07474000e-01,7.04933000e-01,-1.78942700e+00,3.92255068e+02,-1.45743680e+01
"2020Q2",1.46440646e+03,-3.36669400e+00,4.65386511e+00,4.65386511e+00,-0.00000000e+00,9.08561000e-01,2.44230800e+00,-1.74912100e+00,3.44775550e+02,-6.16238490e+01
"2020Q3",1.47629966e+03,-2.72196500e+00,4.65329346e+00,4.65329346e+00,-0.00000000e+00,8.55072000e-01,2.52138200e+00,-2.03829700e+00,3.75463657e+02,-3.20681680e+01
"2020Q4",1.47587543e+03,-3.10000000e+00,4.65345228e+00,4.65345228e+00,-0.00000000e+00,8.38795000e-01,3.02631600e+00,-2.39099300e+00,3.79593806e+02,-2.85316370e+01
"2021Q1",1.47558755e+03,-3.46307500e+00,4.66701759e+00,4.66701759e+00,-0.00000000e+00,8.29575000e-01,2.66896500e+00,-2.54291300e+00,4.10375506e+02,1.86704300e+00
"2021Q2",1.47779141e+03,-2.54099200e+00,4.67236144e+00,4.67236144e+00,-0.00000000e+00,8.29654000e-01,2.04549300e+00,-2.68380900e+00,4.22868413e+02,1.26685020e+01
"2021Q3",1.47985394e+03,-1.61846100e+00,4.68333421e+00,4.68333421e+00,-0.00000000e+00,8.48432000e-01,1.29541400e+00,-2.68707200e+00,4.29048642e+02,1.74700470e+01
"2021Q4",1.48085638e+03,-9.69520000e-01,4.69044517e+00,4.69044517e+00,0.00000000e+00,8.60000000e-01,1.08474900e+00,-2.75155500e+00,4.44265126e+02,3.17542940e+01
